"Data","Abertura","Máxima","Mínima","Fechamento"
"3/1/2017","124.2","124.2","124.2","124.2"
"3/2/2017","123.5","123.5","121.5","123.5"
"3/3/2017","123,799","123.8","123","123.7"
"3/4/2017","122,999","123","121.5","121.7"
"3/5/2017","122,999","123","121.5","121.7"
"3/6/2017","122,999","123","121.5","121.7"
"3/7/2017","121.65","121.65","120.8","120.8"
"3/8/2017","121.77","122.4","121","122.4"
"3/9/2017","122","122.6","121.7","121.7"
"3/10/2017","121","121","120.51","120.75"
"3/11/2017","120,799","121.15","120.5","120.5"
"3/12/2017","120,799","121.15","120.5","120.5"
"3/13/2017","120,799","121.15","120.5","120.5"
"3/14/2017","121.3","121.8","121.3","121.8"
"3/15/2017","121","121","121","121"
"3/16/2017","121.5","122","121.5","122"
"3/17/2017","121.89","122","121","121.45"
"3/18/2017","122","122","120,201","121"
"3/19/2017","122","122","120,201","121"
"3/20/2017","122","122","120,201","121"
"3/21/2017","121.8","121.8","121","121"
"3/22/2017","122.6","123.2","122","122.6"
"3/23/2017","123,901","124.2","123,901","124.2"
"3/24/2017","124","124","123.5","123.5"
"3/25/2017","124","125.5","124","125.5"
"3/26/2017","124","125.5","124","125.5"
"3/27/2017","124","125.5","124","125.5"
"3/28/2017","125,201","126.49","124","125.41"
"3/29/2017","124,801","125.3","124,801","125.1"
"3/30/2017","124.5","124.5","124.5","124.5"
"3/31/2017","125.96","126","125","125"
"4/1/2017","124","124","123.9","123.9"
"4/2/2017","124","124","123.9","123.9"
"4/3/2017","124","124","123.9","123.9"
"4/4/2017","126","127","124.5","124.5"
"4/5/2017","123,499","124.3","123,499","124.3"
"4/6/2017","126.5","126.5","125,013","126.45"
"4/7/2017","126.5","127.5","126.5","127.5"
"4/8/2017","124,999","126.7","124,999","126"
"4/9/2017","124,999","126.7","124,999","126"
"4/10/2017","124,999","126.7","124,999","126"
"4/11/2017","127.48","127.8","126","127.5"
"4/12/2017","128.6","129.5","127.5","129.5"
"4/13/2017","128.49","129","128.49","129"
"4/14/2017","128","128.4","126.5","126.55"
"4/15/2017","128","128.4","126.5","126.55"
"4/16/2017","128","128.4","126.5","126.55"
"4/17/2017","128","128.4","126.5","126.55"
"4/18/2017","127","128.6","127","128.6"
"4/19/2017","128.3","128.3","128","128"
"4/20/2017","128,751","130","128.3","128.3"
"4/21/2017","127","127.2","127","127.2"
"4/22/2017","127","127.2","127","127.2"
"4/23/2017","127","127.2","127","127.2"
"4/24/2017","127","127.2","127","127.2"
"4/25/2017","127,999","127,999","127,999","127,999"
"4/26/2017","127.51","129","127.5","129"
"4/27/2017","128.7","129.1","128.5","129.1"
"4/28/2017","129.1","129.1","128.8","129"
